:BeginHeader
Using satellite data from SGLI/GCOM-C
Match-up generation datetime: 2021-12-02T14:53:13
Investigator: ermaure
Contact: maure@npec.or.jp
Missing: -999
Delimiter: comma
Header rows: 14
VALIDATION CRITERIA applied to this match-up
-Box size of satellite extract: 5 x 5 = 25 pixels
-Minimum percent valid satellite pixels: 25.0
-Maximum time difference between satellite and in situ: 3 h
-Level-2 flags considered for data screening: DATAMISS+LAND+ATMFAIL+CLDICE
:EndHeader
Filename,Sheetname,Station,Date,Time,Lat,Lon,CDOM [m$^{-1}$],CDOM$_{412(0.5+2)}$ [m$^{-1}$],CDOM$_{412}$ [m$^{-1}$],CDOM$_{440(0.5+2)}$ [m$^{-1}$],CDOM$_{440}$ [m$^{-1}$],Chla [mg m$^{-3}$],Chla$_{(0.5+2)}$ [mg m$^{-3}$],Datetime,Filename,Variable [Units],StartDatetime,EndDatetime,ValidPixels,InvalidPixels,Min,Max,Mean,STD,Median,PointValue,PixelValue01,PixelValue02,PixelValue03,PixelValue04,PixelValue05,PixelValue06,PixelValue07,PixelValue08,PixelValue09,PixelValue10,PixelValue11,PixelValue12,PixelValue13,PixelValue14,PixelValue15,PixelValue16,PixelValue17,PixelValue18,PixelValue19,PixelValue20,PixelValue21,PixelValue22,PixelValue23,PixelValue24,PixelValue25,PixelFlags01,PixelFlags02,PixelFlags03,PixelFlags04,PixelFlags05,PixelFlags06,PixelFlags07,PixelFlags08,PixelFlags09,PixelFlags10,PixelFlags11,PixelFlags12,PixelFlags13,PixelFlags14,PixelFlags15,PixelFlags16,PixelFlags17,PixelFlags18,PixelFlags19,PixelFlags20,PixelFlags21,PixelFlags22,PixelFlags23,PixelFlags24,PixelFlags25
OAD180821.xls,観測及び分析結果,4,8/21/2018,2:47:00,36.8317,137.2533,-999,-999.0,-999.0,0.0458,-999.0,-999.0,0.945,2018-08-21T02:47:00,GC1SG1_201808210112C04510_L2SG_IWPRQ_2000.h5,CDOM [m^-1],2018-08-21T01:11:48,2018-08-21T01:16:36,22,3,0.01700000,0.04470000,0.02754545,0.00750768,0.02700000,-999,-999,0.01990000,0.01870000,0.02470000,0.03030000,0.02110000,0.02170000,0.02720000,0.03370000,0.03440000,0.01700000,0.01870000,0.02680000,0.04470000,0.03940000,0.02070000,0.02010000,0.02280000,0.03030000,0.03000000,0.03310000,-999,-999,0.03770000,0.03300000,CLDICE,CLDAFFCTD,,STRAYLIGHT,STRAYLIGHT,CLDAFFCTD,,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,,NEGNLW+ATM-METHOD,NEGNLW+ATM-METHOD,STRAYLIGHT,STRAYLIGHT
OAD180821.xls,観測及び分析結果,4,8/21/2018,2:47:00,36.8317,137.2533,-999,-999.0,-999.0,0.0458,-999.0,-999.0,0.945,2018-08-21T02:47:00,GC1SG1_201808210112C04510_L2SG_IWPRQ_2000.h5,TSM [g m^-3],2018-08-21T01:11:48,2018-08-21T01:16:36,22,3,1.12200010,1.89600015,1.48159099,0.20851025,1.44800007,-999,-999,1.40000010,1.24400008,1.26700008,1.12200010,1.83300006,1.77500010,1.39400005,1.47400010,1.19400001,1.70700014,1.62600005,1.42200005,1.48200011,1.28600001,1.89600015,1.69300008,1.57800007,1.48200011,1.34500003,1.65400004,-999,-999,1.38400006,1.33700001,CLDICE,CLDAFFCTD,,STRAYLIGHT,STRAYLIGHT,CLDAFFCTD,,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,,NEGNLW+ATM-METHOD,NEGNLW+ATM-METHOD,STRAYLIGHT,STRAYLIGHT
OAD180821.xls,観測及び分析結果,2,8/21/2018,1:52:00,36.8317,137.3317,-999,0.0765,-999.0,0.0765,-999.0,-999.0,2.34,2018-08-21T01:52:00,GC1SG1_201808210112C04510_L2SG_IWPRQ_2000.h5,CHLA [mg m^-3],2018-08-21T01:11:48,2018-08-21T01:16:36,25,0,0.29279998,2.10879993,1.09608433,1.59553923,1.27999997,1.62559998,0.38880000,0.29279998,0.46239999,0.72319996,1.12319994,0.80320001,0.78239995,0.98559999,1.27839994,1.45599997,1.05279994,1.28320003,1.62559998,1.45120001,1.54879999,1.27999997,1.51199996,2.10879993,1.48319995,1.54559994,1.37279999,1.41439998,1.15839994,1.26399994,1.53119993,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT
OAD180821.xls,観測及び分析結果,2,8/21/2018,1:52:00,36.8317,137.3317,-999,0.0765,-999.0,0.0765,-999.0,-999.0,2.34,2018-08-21T01:52:00,GC1SG1_201808210112C04510_L2SG_IWPRQ_2000.h5,CDOM [m^-1],2018-08-21T01:11:48,2018-08-21T01:16:36,25,0,0.01800000,0.06270000,0.03808400,0.01058624,0.03940000,0.06270000,0.01830000,0.01800000,0.02050000,0.02490000,0.03940000,0.02910000,0.03160000,0.03600000,0.04290000,0.04060000,0.03090000,0.03810000,0.06270000,0.04600000,0.04170000,0.03820000,0.04580000,0.05900000,0.04340000,0.04190000,0.04050000,0.03640000,0.03890000,0.04040000,0.04690000,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT
OAD180821.xls,観測及び分析結果,2,8/21/2018,1:52:00,36.8317,137.3317,-999,0.0765,-999.0,0.0765,-999.0,-999.0,2.34,2018-08-21T01:52:00,GC1SG1_201808210112C04510_L2SG_IWPRQ_2000.h5,TSM [g m^-3],2018-08-21T01:11:48,2018-08-21T01:16:36,25,0,1.58100009,2.31900001,1.90248013,0.18032107,1.94100010,1.93600011,1.58800006,1.59500003,1.81400013,1.94600010,2.04600000,1.58100009,1.63900006,1.85500014,1.98200011,2.03299999,1.65100002,1.78300011,1.93600011,1.95400012,2.07100010,1.80600011,1.94100010,2.31900001,1.90100014,2.06900001,1.92400014,2.02800012,2.03900003,2.00400019,2.05700016,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT
OAD190527.xls,観測及び分析結果,8,5/27/2019,3:54:00,36.8317,137.09,-999,0.0357,-999.0,-999.0,-999.0,-999.0,0.4047,2019-05-27T03:54:00,GC1SG1_201905270131G05010_L2SG_IWPRQ_2000.h5,CHLA [mg m^-3],2019-05-27T01:31:00,2019-05-27T01:35:48,25,0,0.18719999,0.22559999,0.20248297,1.05279491,0.20320000,0.20960000,0.19360000,0.19520000,0.19360000,0.18879999,0.19200000,0.20479999,0.20479999,0.19200000,0.19679999,0.20320000,0.19039999,0.20639999,0.20960000,0.20960000,0.19999999,0.18719999,0.21439999,0.21759999,0.21759999,0.20960000,0.18879999,0.20799999,0.20320000,0.21599999,0.22559999,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD
OAD190527.xls,観測及び分析結果,8,5/27/2019,3:54:00,36.8317,137.09,-999,0.0357,-999.0,-999.0,-999.0,-999.0,0.4047,2019-05-27T03:54:00,GC1SG1_201905270131G05010_L2SG_IWPRQ_2000.h5,CDOM [m^-1],2019-05-27T01:31:00,2019-05-27T01:35:48,25,0,0.01610000,0.02120000,0.01845600,0.00157584,0.01880000,0.01910000,0.01820000,0.01620000,0.01620000,0.01610000,0.01620000,0.01870000,0.01680000,0.02120000,0.01860000,0.01880000,0.02100000,0.01890000,0.01910000,0.01910000,0.01680000,0.02060000,0.01880000,0.01940000,0.01920000,0.01690000,0.02070000,0.01840000,0.01640000,0.01920000,0.01990000,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD
OAD190527.xls,観測及び分析結果,8,5/27/2019,3:54:00,36.8317,137.09,-999,0.0357,-999.0,-999.0,-999.0,-999.0,0.4047,2019-05-27T03:54:00,GC1SG1_201905270131G05010_L2SG_IWPRQ_2000.h5,TSM [g m^-3],2019-05-27T01:31:00,2019-05-27T01:35:48,25,0,0.51200002,0.60400003,0.56376004,0.02303264,0.56700003,0.56800002,0.53000003,0.55500001,0.54200006,0.51200002,0.52000004,0.56700003,0.58400005,0.55400002,0.53200001,0.54000002,0.57000005,0.57400000,0.56800002,0.56100005,0.56600004,0.56600004,0.58800000,0.58800000,0.57000005,0.57300001,0.58100003,0.59100002,0.56700003,0.59100002,0.60400003,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD
OAD190527.xls,観測及び分析結果,7,5/27/2019,2:37:00,36.8317,137.155,-999,0.0101,-999.0,-999.0,-999.0,-999.0,1.1912,2019-05-27T02:37:00,GC1SG1_201905270131G05010_L2SG_IWPRQ_2000.h5,CHLA [mg m^-3],2019-05-27T01:31:00,2019-05-27T01:35:48,25,0,0.18239999,0.25279999,0.22209061,1.07466251,0.22239999,0.22399999,0.18879999,0.20960000,0.23040000,0.22559999,0.21920000,0.18239999,0.20639999,0.21439999,0.22559999,0.23359999,0.22239999,0.22080000,0.22399999,0.21920000,0.21599999,0.23040000,0.22559999,0.24319999,0.25279999,0.24319999,0.23680000,0.21759999,0.21439999,0.22080000,0.24319999,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD
OAD190527.xls,観測及び分析結果,7,5/27/2019,2:37:00,36.8317,137.155,-999,0.0101,-999.0,-999.0,-999.0,-999.0,1.1912,2019-05-27T02:37:00,GC1SG1_201905270131G05010_L2SG_IWPRQ_2000.h5,CDOM [m^-1],2019-05-27T01:31:00,2019-05-27T01:35:48,25,0,0.01670000,0.02300000,0.01968000,0.00102917,0.01960000,0.01900000,0.02000000,0.01870000,0.01950000,0.01960000,0.01880000,0.01980000,0.01670000,0.01900000,0.01950000,0.01980000,0.01940000,0.01950000,0.01900000,0.02070000,0.01920000,0.02000000,0.01980000,0.02070000,0.02300000,0.02030000,0.02000000,0.01940000,0.01940000,0.01980000,0.02040000,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD
