:BeginHeader
Using satellite data from MODIS/AQUA
Match-up generation datetime: 2021-12-02T13:07:03
Investigator: ermaure
Contact: maure@npec.or.jp
Missing: -999
Delimiter: comma
Header rows: 14
VALIDATION CRITERIA applied to this match-up
-Box size of satellite extract: 5 x 5 = 25 pixels
-Minimum percent valid satellite pixels: 25.0
-Maximum time difference between satellite and in situ: 3 h
-Level-2 flags considered for data screening: ATMFAIL+LAND+CLDICE+CHLFAIL+NAVFAIL
:EndHeader
cruise,Year,Month,Day,Hour,Minute,Second,Lat,Lon,id,etopo2,chl,Datetime,Filename,Variable [Units],StartDatetime,EndDatetime,ValidPixels,InvalidPixels,Min,Max,Mean,STD,Median,PointValue,PixelValue01,PixelValue02,PixelValue03,PixelValue04,PixelValue05,PixelValue06,PixelValue07,PixelValue08,PixelValue09,PixelValue10,PixelValue11,PixelValue12,PixelValue13,PixelValue14,PixelValue15,PixelValue16,PixelValue17,PixelValue18,PixelValue19,PixelValue20,PixelValue21,PixelValue22,PixelValue23,PixelValue24,PixelValue25,PixelFlags01,PixelFlags02,PixelFlags03,PixelFlags04,PixelFlags05,PixelFlags06,PixelFlags07,PixelFlags08,PixelFlags09,PixelFlags10,PixelFlags11,PixelFlags12,PixelFlags13,PixelFlags14,PixelFlags15,PixelFlags16,PixelFlags17,PixelFlags18,PixelFlags19,PixelFlags20,PixelFlags21,PixelFlags22,PixelFlags23,PixelFlags24,PixelFlags25
bats174a,2003,4,2,16,25,0,32.2519,-64.2636,472.0,4054.0,0.269,2003-04-02T16:25:00,A2003092173500.L2_LAC_OC.nc,Rrs_412 [sr^-1],2003-04-02T17:35:01,2003-04-02T17:40:00,25,0,0.00687600,0.00746200,0.00709200,0.00013434,0.00708200,0.00692200,0.00746200,0.00706800,0.00712400,0.00732000,0.00725200,0.00715800,0.00717800,0.00708800,0.00696600,0.00709600,0.00712400,0.00690000,0.00692200,0.00720200,0.00707400,0.00705000,0.00708000,0.00690000,0.00687600,0.00708200,0.00691400,0.00708000,0.00706000,0.00715600,0.00716800,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT
bats174a,2003,4,2,16,25,0,32.2519,-64.2636,472.0,4054.0,0.269,2003-04-02T16:25:00,A2003092173500.L2_LAC_OC.nc,Rrs_443 [sr^-1],2003-04-02T17:35:01,2003-04-02T17:40:00,25,0,0.00541000,0.00603800,0.00567864,0.00014318,0.00568400,0.00551400,0.00596000,0.00572000,0.00571800,0.00603800,0.00588400,0.00568400,0.00570600,0.00573000,0.00559400,0.00572000,0.00563400,0.00551000,0.00551400,0.00581800,0.00564800,0.00560200,0.00567600,0.00541000,0.00548200,0.00569800,0.00550200,0.00568000,0.00557200,0.00569400,0.00577200,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT
bats174a,2003,4,2,16,25,0,32.2519,-64.2636,472.0,4054.0,0.269,2003-04-02T16:25:00,A2003092173500.L2_LAC_OC.nc,Rrs_488 [sr^-1],2003-04-02T17:35:01,2003-04-02T17:40:00,25,0,0.00438600,0.00478200,0.00454288,0.00009146,0.00455200,0.00444800,0.00464800,0.00451600,0.00454800,0.00478200,0.00463800,0.00455400,0.00455200,0.00460600,0.00449600,0.00457000,0.00447800,0.00439600,0.00444800,0.00464800,0.00455400,0.00447000,0.00458600,0.00438600,0.00439800,0.00459800,0.00443000,0.00454600,0.00451200,0.00459000,0.00462200,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT
bats174a,2003,4,2,16,25,0,32.2519,-64.2636,472.0,4054.0,0.269,2003-04-02T16:25:00,A2003092173500.L2_LAC_OC.nc,Rrs_531 [sr^-1],2003-04-02T17:35:01,2003-04-02T17:40:00,25,0,0.00194800,0.00220800,0.00206376,0.00005797,0.00205800,0.00201400,0.00213800,0.00203400,0.00205800,0.00220800,0.00205600,0.00208800,0.00208200,0.00209600,0.00197600,0.00204800,0.00204000,0.00194800,0.00201400,0.00211800,0.00212600,0.00204800,0.00211600,0.00201000,0.00196200,0.00209800,0.00200800,0.00210800,0.00206000,0.00209600,0.00205800,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT
bats174a,2003,4,2,16,25,0,32.2519,-64.2636,472.0,4054.0,0.269,2003-04-02T16:25:00,A2003092173500.L2_LAC_OC.nc,Rrs_547 [sr^-1],2003-04-02T17:35:01,2003-04-02T17:40:00,25,0,0.00145000,0.00168200,0.00154944,0.00005807,0.00154200,0.00149200,0.00163600,0.00152600,0.00154200,0.00168200,0.00150200,0.00157400,0.00155800,0.00153400,0.00146800,0.00152200,0.00154000,0.00145200,0.00149200,0.00163400,0.00159800,0.00154200,0.00161400,0.00148600,0.00145000,0.00157400,0.00151000,0.00160400,0.00154400,0.00159800,0.00155400,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT
bats174a,2003,4,2,16,25,0,32.2519,-64.2636,472.0,4054.0,0.269,2003-04-02T16:25:00,A2003092173500.L2_LAC_OC.nc,Rrs_645 [sr^-1],2003-04-02T17:35:01,2003-04-02T17:40:00,25,0,0.00003400,0.00017600,0.00009984,0.00003867,0.00009800,0.00006800,0.00012000,0.00008000,0.00012000,0.00017600,0.00009800,0.00014800,0.00015000,0.00011800,0.00007200,0.00009000,0.00005600,0.00003400,0.00006800,0.00016600,0.00009200,0.00006800,0.00013000,0.00003600,0.00003400,0.00014000,0.00007800,0.00010800,0.00009800,0.00011000,0.00010600,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT
bats174a,2003,4,2,16,25,0,32.2519,-64.2636,472.0,4054.0,0.269,2003-04-02T16:25:00,A2003092173500.L2_LAC_OC.nc,Rrs_667 [sr^-1],2003-04-02T17:35:01,2003-04-02T17:40:00,25,0,0.00006600,0.00015000,0.00010864,0.00002612,0.00010800,0.00007600,0.00014200,0.00009400,0.00008400,0.00015000,0.00009200,0.00012400,0.00013600,0.00012000,0.00006600,0.00010800,0.00010600,0.00007200,0.00007600,0.00013800,0.00012400,0.00011200,0.00014800,0.00006800,0.00006800,0.00013200,0.00009400,0.00013800,0.00009800,0.00011800,0.00010800,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT
bats174a,2003,4,2,16,25,0,32.2519,-64.2636,472.0,4054.0,0.269,2003-04-02T16:25:00,A2003092173500.L2_LAC_OC.nc,Rrs_678 [sr^-1],2003-04-02T17:35:01,2003-04-02T17:40:00,25,0,0.00008400,0.00016200,0.00012432,0.00002256,0.00012200,0.00010400,0.00016000,0.00011600,0.00010600,0.00016200,0.00010800,0.00013200,0.00014000,0.00012000,0.00008800,0.00011800,0.00010400,0.00009400,0.00010400,0.00015000,0.00012800,0.00013200,0.00015000,0.00010000,0.00008400,0.00015400,0.00012200,0.00016000,0.00012600,0.00011600,0.00013400,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT
bats174a,2003,4,4,15,38,0,32.1689,-64.5003,476.0,3106.0,0.144,2003-04-04T15:38:00,A2003094172000.L2_LAC_OC.nc,chlor_a [mg m^-3],2003-04-04T17:20:00,2003-04-04T17:25:00,15,0,0.10878565,0.12894911,0.12293341,1.04759591,0.12493033,0.12642688,0.12476392,0.12640104,0.12891647,0.11995235,0.10878565,0.12312178,0.12493033,0.12721644,0.12083511,0.11506661,0.12894911,0.12743115,0.12642688,0.12619776,0.11696245,,,,,,,,,,,HIGLINT+STRAYLIGHT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+STRAYLIGHT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+STRAYLIGHT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,,,,,,,,,,
bats174a,2003,4,4,15,38,0,32.1689,-64.5003,476.0,3106.0,0.144,2003-04-04T15:38:00,A2003094172000.L2_LAC_OC.nc,Rrs_412 [sr^-1],2003-04-04T17:20:00,2003-04-04T17:25:00,15,0,0.00778400,0.00871600,0.00825640,0.00030447,0.00831600,0.00809400,0.00781800,0.00803200,0.00790200,0.00851200,0.00868000,0.00831600,0.00837600,0.00808200,0.00856600,0.00871600,0.00778400,0.00801200,0.00809400,0.00839200,0.00856400,,,,,,,,,,,HIGLINT+STRAYLIGHT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+STRAYLIGHT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+STRAYLIGHT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,,,,,,,,,,
bats174a,2003,4,4,15,38,0,32.1689,-64.5003,476.0,3106.0,0.144,2003-04-04T15:38:00,A2003094172000.L2_LAC_OC.nc,Rrs_443 [sr^-1],2003-04-04T17:20:00,2003-04-04T17:25:00,15,0,0.00671200,0.00745800,0.00703907,0.00024918,0.00707800,0.00686400,0.00674000,0.00688200,0.00675400,0.00720400,0.00744400,0.00712000,0.00715600,0.00682200,0.00722200,0.00745800,0.00671200,0.00681200,0.00686400,0.00707800,0.00731800,,,,,,,,,,,HIGLINT+STRAYLIGHT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+STRAYLIGHT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+STRAYLIGHT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,,,,,,,,,,
bats174a,2003,4,4,15,38,0,32.1689,-64.5003,476.0,3106.0,0.144,2003-04-04T15:38:00,A2003094172000.L2_LAC_OC.nc,Rrs_488 [sr^-1],2003-04-04T17:20:00,2003-04-04T17:25:00,15,0,0.00509800,0.00556000,0.00532933,0.00014656,0.00538000,0.00522400,0.00509800,0.00517800,0.00517200,0.00538000,0.00544600,0.00542400,0.00548800,0.00519400,0.00545000,0.00556000,0.00515800,0.00525600,0.00522400,0.00539800,0.00551400,,,,,,,,,,,HIGLINT+STRAYLIGHT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+STRAYLIGHT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+STRAYLIGHT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,,,,,,,,,,
bats174a,2003,4,4,15,38,0,32.1689,-64.5003,476.0,3106.0,0.144,2003-04-04T15:38:00,A2003094172000.L2_LAC_OC.nc,Rrs_531 [sr^-1],2003-04-04T17:20:00,2003-04-04T17:25:00,15,0,0.00195600,0.00224200,0.00210613,0.00008743,0.00207800,0.00202000,0.00195600,0.00207800,0.00203600,0.00213200,0.00206000,0.00219000,0.00224200,0.00204800,0.00220200,0.00219800,0.00199800,0.00205000,0.00202000,0.00220600,0.00217600,,,,,,,,,,,HIGLINT+STRAYLIGHT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+STRAYLIGHT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+STRAYLIGHT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,HIGLINT+MODGLINT+PRODFAIL,,,,,,,,,,
